GPSpt,Date,SH1,SH1out,G1,G1out,T1,T1out,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,SH2,SH2out,G2,G2out,T2,T2out,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,SH3,SH3out,G3,G3out,T3,T3out,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,Notes
65,20160112,100,93,16,39,21,16,3,2.9,3,1.9,3,2.7,2.4,2.3,2.6,1.7,0,10,10,0,0,25,25,10,25,25,94,100,54,19,0,7,3.3,3.3,2.9,2.9,2.7,2.6,2.6,1.9,2.7,2.4,25,25,25,25,25,25,10,10,25,10,100,97,7,4,6,29,2.2,2.9,2.7,2.9,3,3.2,3.2,3.2,1.7,1.4,10,25,25,10,10,10,0,0,25,10,sicklebush
67,20160112,99,87,17,24,7,16,2.4,2.9,2.7,0.9,1.9,1.9,1.7,0.7,1.9,1.5,10,10,10,25,10,25,25,50,25,25,100,89,64,67,0,0,2.8,2.4,1.4,1.2,2.7,2.9,2.9,1.8,1.8,0.7,10,10,25,10,10,10,10,25,25,10,100,72,59,73,7,16,3.3,2.9,2.4,2.2,2.7,0.9,2.4,2.4,0.9,2.7,10,10,50,25,25,25,50,25,25,25,sicklebush
68,20160112,100,84,3,4,16,27,3.2,1.9,2.2,2.2,2.4,3.2,3.1,0.9,1.6,1.7,0,0,0,0,0,10,10,25,0,25,97,89,6,8,29,36,1.9,1.9,2.4,1.9,1.7,1.7,2.3,2.6,1.7,1.4,0,0,0,25,25,25,25,0,0,25,97,84,0,7,62,54,1.7,1.4,1.7,1.7,2.3,2.6,2.7,1.9,1.4,1.5,0,0,0,0,0,0,25,25,0,25,prostrate
69,20160112,29,21,74,89,85,74,1,1.2,1.4,1,1,1.4,2.3,1.9,2.3,1.7,50,25,50,25,50,25,50,50,50,50,94,79,15,37,61,57,2.7,2.4,2.7,2.6,2.1,1.7,1.9,0.9,1.6,1.6,25,0,0,25,50,10,25,25,10,50,54,47,71,68,15,13,3.2,1.7,2.2,2.2,2.4,2.3,2.3,2.3,1.7,2.9,50,50,50,25,50,10,25,50,50,25,sicklebush
70,20160112,100,74,3,29,24,19,2.7,2.7,2.7,2.9,2.4,1.7,1.7,2.2,2.2,0.9,0,0,10,0,0,50,50,50,25,25,79,84,30,59,11,50,2.7,2.7,2.7,1.9,1.7,1.4,1.4,2.3,2.2,2.6,0,0,10,10,25,25,25,50,25,10,100,84,0,29,0,14,2.8,2.8,2.6,2.7,2.7,2.7,2.6,1.9,1.9,2.1,0,0,0,0,0,0,0,50,25,25,sicklebush
121,20160112,27,22,100,90,11,24,2.9,2.4,2.7,2.3,1.9,1.2,2.2,2.2,2.3,2.3,50,50,50,50,50,50,50,10,50,50,50,62,81,72,16,29,3.2,1.3,1.4,2.7,2.2,2.6,2.6,2.6,2.4,2.1,50,50,0,10,50,50,50,25,50,25,24,19,96,92,24,31,2.1,1.7,1.4,0.2,3.2,2.7,2.4,2.2,2.4,2.4,50,50,50,50,50,50,50,25,50,50,sicklebush
123,20160112,96,79,79,79,5,0,2.2,3.3,3.3,3.1,3.1,3.4,2.9,2.7,2.9,3,10,25,25,10,25,25,25,50,25,50,95,90,94,92,7,0,2.4,2.1,2.7,1.9,0.7,1.7,2.6,2.4,2.2,1.4,50,50,25,50,25,25,25,50,50,25,39,21,89,74,16,4,3,3.2,0.4,1.7,2.2,2.6,0.4,2.7,2.2,0.9,25,50,25,25,25,50,50,25,25,50,sicklebush
125,20160112,17,21,74,82,34,19,0.3,1.9,3.3,1.7,1.4,2.6,1.7,2.1,1.9,1.5,80,50,80,50,25,50,50,25,25,50,21,18,94,100,9,0,2.4,0.3,3.3,1.6,1.4,2.9,1.4,0.7,1.6,1.2,50,80,50,50,25,25,25,50,50,25,7,21,96,100,17,0,1,3.2,2.3,1.4,0.9,1.6,1.6,1.8,1.8,0.7,25,50,50,25,25,50,50,25,50,25,broadleaf
126,20160112,16,72,100,97,11,16,0.2,1,2.6,2.4,0.2,1.7,2.7,1.9,2.3,2.2,50,50,50,50,50,50,50,25,50,50,14,20,100,92,61,40,0,1.3,1.7,1.9,0.7,1.4,1.9,2.2,2.2,1.3,25,50,25,50,50,50,50,25,25,50,6,70,100,100,69,37,0.9,2.7,0.8,0,0,2.7,2.7,2.3,2.3,1.4,25,25,50,25,25,25,10,25,10,25,broadleaf
128,20160112,74,59,96,92,34,21,1.2,3,2.6,2.6,2.6,2.4,2.4,2.7,1.9,2.3,50,25,25,25,50,50,50,25,25,25,9,17,100,92,59,46,2.2,1.4,1.3,1.9,2,2.2,2.2,1.9,1.4,1.3,50,25,25,50,25,25,25,50,25,50,14,17,88,71,62,51,0,1.9,2.3,1.7,1.4,2.1,1.7,1.4,1.6,1.3,10,50,50,25,50,10,10,25,25,50,broadleaf
