GPSpt,Date,ShrCover1,GrassCover1,TreeCover1,SH1,SH2,SH3,SH4,SH5,GH1,GH2,GH3,GH4,GH5,ShrCover2,GrassCover2,TreeCover2,SH6,SH7,SH8,SH9,SH10,GH6,GH7,GH8,GH9,GH10,ShrCover3,GrassCover3,TreeCover3,SH11,SH12,SH13,SH14,SH15,GH11,GH12,GH13,GH14,GH15,Buildings,Notes
377,20150301,0,89,0,,,,,,waist,waist,head,head,waist,8,79,0,,3,,,, ,shin,shin,waist,waist,6,72,0,,2.6,,,,,waist,waist,,waist,13,
378,20150301,0,96,23,,,,,,head,head,head,head,head,12,84,0,,3.2,,,,,waist,waist,head,head,0,80,0,,,,,,,waist,waist,chest,waist,6,
379,20150301,12,96,0,3.3,2.9,,,,chest,chest,chest,chest,chest,87,16,12,2.7,2.9,2.7,2.4,2.3,waist,ankle,,,,0,84,0,,,,,,waist,waist,waist,waist,waist,9,
380,20150301,0,100,0,,,,,,waist,waist,waist,waist,waist,0,22,85,,,,,,,knee,,knee,knee,0,16,0,,,,,,,,,knee,knee,10,
381,20150301,0,100,0,,,,,,waist,waist,waist,head,head,0,63,0,,,,,,waist,head,,,waist,0,100,23,,,,,,chest,head,head,head,head,18,
382,20150301,0,0,0,,,,,,,,,,,0,79,0,,,,,,chest,chest,waist,waist,waist,0,54,0,,,,,,waist,waist,head,,,11,
383,20150301,0,59,2,,,,,,head,head,head,head,head,0,6,0,,,,,,knee,,,,,0,100,0,,,,,,head,head,head,head,head,12,
385,20150204,0,30,11,,,,,,shin,head,shin,head,head,4,27,9,1.1,1.7,1.6,1.5,,shin,shin,waist,waist,shin,0,54,4,,,,,,head,head,head,head,head,25,
386,20150204,11,38,9,1.6,1.7,,,,knee,,,,,3,80,0,0.6,,,,,head,head,head,head,head,0,30,6,,,,,,head,head,,head,head,17,
387,20150204,15,40,21,2.2,2.9,,,,shin,knee,head,head,head,37,78,0,2.6,3.9,2.4,1.4,,shin,knee,knee,knee,knee,4,97,0,1.2,1.6,0.9,,,waist,waist,waist,waist,waist,14,
388,20150204,94,62,0,3.4,3.2,3.9,3.2,3.2,knee,knee,knee,knee,knee,6,94,0,1.9,,,,2.9,waist,waist,waist,waist,waist,6,100,0,2.3,,,,,chest,head,head,head,head,2,
389,20150204,5,89,11,2.2,1.1,2.7,,,ankle,waist,waist,waist,waist,21,79,0,2.5,2.5,2.4,2.2,2,ankle,ankle,ankle,knee,knee,6,84,4,1.8,,,,,shin,waist,head,head,head,6,
390,20150204,16,21,10,0.9,1.3,,2,,,,,,head,12,62,0,0.4,0.8,,,,ankle,shin,waist,waist,head,14,33,7,3.4,0.7,0.4,2.2,2.4,ankle,ankle,ankle,waist,waist,25,
391,20150204,7,46,7,2.4,,,2.2,,ankle,waist,waist,,,3,96,17,2.2,,,0.4,0.3,knee,knee,knee,waist,knee,2,93,38,2.2,0.2,0.3,,,shin,knee,knee,shin,knee,9,
392,20150204,6,89,0,0.9,2.7,0.3,,,knee,knee,knee,knee,knee,4,92,0,1.2,1.9,1.2,,,knee,knee,knee,knee,knee,1,90,6,,,,,,waist,waist,head,head,head,0,
393,20150204,0,74,9,,,,,,waist,chest,chest,chest,chest,3,99,0,1.9,,,,,knee,knee,knee,knee,knee,6,97,0,0.3,1.4,,,,knee,knee,knee,knee,knee,6,
394,20150205,11,30,21,0.6,0.9,0.3,1.2,,ankle,ankle,,,ankle,3,57,0,,1.4,,,,ankle,waist,head,head,head,4,44,0,,1.2,,,,,ankle,waist,waist,head,14,
395,20150205,0,18,0,,,,,,,ankle,ankle,,,1,17,7,,,,,0.4,,ankle,ankle,ankle,ankle,0,11,0,,,,,,,ankle,,,,35,
396,20150205,0,40,17,0.2,0.1,,,0.1,ankle,,ankle,ankle,ankle,11,37,39,0.4,0.2,0.3,,0.3,ankle,ankle,ankle,,ankle,7,29,6,,0.2,0.7,0.2,0.6,,ankle,ankle,ankle,ankle,30,
397,20150205,3,29,0,0.3,0.1,0.5,0.2,,,,ankle,ankle,,13,31,0,0.3,0.1,0.1,1.1,1.3,ankle,ankle,ankle,,ankle,0,27,0,,,,,,,,ankle,ankle,ankle,28,
398,20150205,4,34,0,0.3,,0.2,0.2,0.3,,,ankle,ankle,ankle,0,41,16,,0.2,,,,ankle,ankle,ankle,shin,shin,16,26,0,0.4,0.9,1.3,1.2,0.1,,,ankle,waist,waist,36,
399,20150205,0,15,0,,,,,,,,,,,0,17,0,,,,,,,,,,,11,34,16,,2.1,,1.7,0.9,ankle,,,,,33,
400,20150205,11,16,50,,1.7,2.3,2.7,2.6,ankle,ankle,,,,14,17,0,0.2,0.3,1.8,1.2,,ankle,shin,shin,shin,shin,24,35,0,2.2,2.7,3.4,1,,ankle,ankle,knee,head,head,15,
401,20150205,40,17,0,,,3.3,3.4,3.4,ankle,shin,shin,knee,ankle,16,20,0,0.7,1.2,,1.4,1.4,waist,,,waist,waist,17,68,9,2.1,2,1.6,1.7,1.6,thigh,waist,waist,waist,waist,0,
402,20150205,3,20,0,,1.1,,,,knee,knee,thigh,thigh,thigh,0,3,6,,,,,,,,,,,0,31,6,1,,,,,ankle,,,ankle,shin,10,
406,20150221,0,60,32,,,,,,ankle,ankle,ankle,ankle,ankle,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,
408,20150313,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,85,0,,,,,,ankle,ankle,2.6,2.6,2.6,0,98,0,,,,,,2.4,2.5,2.6,2.6,2.6,0,
409,20150313,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,94,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,100,0,,,,,,2.2,2.2,2.2,2.2,2.5,0,
410,20150313,0,98,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,96,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,97,0,,,,,,2.8,2.8,2.8,2.8,2.8,1,
411,20150313,0,100,0,,,,,,ankle,ankle,ankle,ankle,ankle,0,100,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,100,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,
412,20150313,0,98,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,96,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,99,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,
